Epoch 5: Hits@10 Left = 0.838, Hits@10 Right = 0.844, Average Hits@10 = 0.841
Epoch 10: Hits@10 Left = 0.845, Hits@10 Right = 0.848, Average Hits@10 = 0.846
Epoch 15: Hits@10 Left = 0.848, Hits@10 Right = 0.846, Average Hits@10 = 0.847
Epoch 20: Hits@10 Left = 0.849, Hits@10 Right = 0.848, Average Hits@10 = 0.849
Epoch 25: Hits@10 Left = 0.851, Hits@10 Right = 0.849, Average Hits@10 = 0.850
Epoch 30: Hits@10 Left = 0.852, Hits@10 Right = 0.850, Average Hits@10 = 0.851
Epoch 35: Hits@10 Left = 0.856, Hits@10 Right = 0.851, Average Hits@10 = 0.853
Epoch 40: Hits@10 Left = 0.855, Hits@10 Right = 0.852, Average Hits@10 = 0.854
Epoch 45: Hits@10 Left = 0.855, Hits@10 Right = 0.852, Average Hits@10 = 0.854
Epoch 50: Hits@10 Left = 0.856, Hits@10 Right = 0.852, Average Hits@10 = 0.854
Epoch 55: Hits@10 Left = 0.856, Hits@10 Right = 0.852, Average Hits@10 = 0.854
Epoch 60: Hits@10 Left = 0.856, Hits@10 Right = 0.852, Average Hits@10 = 0.854
Epoch 65: Hits@10 Left = 0.856, Hits@10 Right = 0.854, Average Hits@10 = 0.855
Epoch 70: Hits@10 Left = 0.857, Hits@10 Right = 0.854, Average Hits@10 = 0.856
Epoch 75: Hits@10 Left = 0.858, Hits@10 Right = 0.855, Average Hits@10 = 0.856
Epoch 80: Hits@10 Left = 0.857, Hits@10 Right = 0.855, Average Hits@10 = 0.856
Epoch 85: Hits@10 Left = 0.857, Hits@10 Right = 0.855, Average Hits@10 = 0.856
Epoch 90: Hits@10 Left = 0.857, Hits@10 Right = 0.854, Average Hits@10 = 0.856
Epoch 95: Hits@10 Left = 0.858, Hits@10 Right = 0.855, Average Hits@10 = 0.856
Epoch 100: Hits@10 Left = 0.859, Hits@10 Right = 0.855, Average Hits@10 = 0.857
Epoch 105: Hits@10 Left = 0.859, Hits@10 Right = 0.855, Average Hits@10 = 0.857
Epoch 110: Hits@10 Left = 0.859, Hits@10 Right = 0.854, Average Hits@10 = 0.856
Epoch 115: Hits@10 Left = 0.859, Hits@10 Right = 0.854, Average Hits@10 = 0.856
Epoch 120: Hits@10 Left = 0.860, Hits@10 Right = 0.854, Average Hits@10 = 0.857
Epoch 125: Hits@10 Left = 0.860, Hits@10 Right = 0.855, Average Hits@10 = 0.857
Epoch 130: Hits@10 Left = 0.860, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 135: Hits@10 Left = 0.860, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 140: Hits@10 Left = 0.860, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 145: Hits@10 Left = 0.860, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 150: Hits@10 Left = 0.859, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 155: Hits@10 Left = 0.860, Hits@10 Right = 0.857, Average Hits@10 = 0.858
Epoch 160: Hits@10 Left = 0.859, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 165: Hits@10 Left = 0.859, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 170: Hits@10 Left = 0.859, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 175: Hits@10 Left = 0.860, Hits@10 Right = 0.857, Average Hits@10 = 0.858
Epoch 180: Hits@10 Left = 0.859, Hits@10 Right = 0.857, Average Hits@10 = 0.858
Epoch 185: Hits@10 Left = 0.859, Hits@10 Right = 0.857, Average Hits@10 = 0.858
Epoch 190: Hits@10 Left = 0.859, Hits@10 Right = 0.857, Average Hits@10 = 0.858
Epoch 195: Hits@10 Left = 0.859, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 200: Hits@10 Left = 0.859, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 205: Hits@10 Left = 0.859, Hits@10 Right = 0.857, Average Hits@10 = 0.858
Epoch 210: Hits@10 Left = 0.859, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 215: Hits@10 Left = 0.860, Hits@10 Right = 0.857, Average Hits@10 = 0.858
Epoch 220: Hits@10 Left = 0.860, Hits@10 Right = 0.857, Average Hits@10 = 0.858
Epoch 225: Hits@10 Left = 0.860, Hits@10 Right = 0.856, Average Hits@10 = 0.858
Epoch 230: Hits@10 Left = 0.860, Hits@10 Right = 0.857, Average Hits@10 = 0.859
Epoch 235: Hits@10 Left = 0.861, Hits@10 Right = 0.857, Average Hits@10 = 0.859
Epoch 240: Hits@10 Left = 0.861, Hits@10 Right = 0.857, Average Hits@10 = 0.859
Epoch 245: Hits@10 Left = 0.861, Hits@10 Right = 0.858, Average Hits@10 = 0.860
Epoch 250: Hits@10 Left = 0.862, Hits@10 Right = 0.857, Average Hits@10 = 0.860
Epoch 255: Hits@10 Left = 0.862, Hits@10 Right = 0.857, Average Hits@10 = 0.860
Epoch 260: Hits@10 Left = 0.862, Hits@10 Right = 0.857, Average Hits@10 = 0.860
Epoch 265: Hits@10 Left = 0.862, Hits@10 Right = 0.857, Average Hits@10 = 0.860
Epoch 270: Hits@10 Left = 0.862, Hits@10 Right = 0.857, Average Hits@10 = 0.859
Epoch 275: Hits@10 Left = 0.862, Hits@10 Right = 0.857, Average Hits@10 = 0.859
Epoch 280: Hits@10 Left = 0.862, Hits@10 Right = 0.857, Average Hits@10 = 0.859
Epoch 285: Hits@10 Left = 0.862, Hits@10 Right = 0.856, Average Hits@10 = 0.859
Epoch 290: Hits@10 Left = 0.862, Hits@10 Right = 0.856, Average Hits@10 = 0.859
Epoch 295: Hits@10 Left = 0.861, Hits@10 Right = 0.856, Average Hits@10 = 0.859
Epoch 300: Hits@10 Left = 0.861, Hits@10 Right = 0.856, Average Hits@10 = 0.859
Epoch 305: Hits@10 Left = 0.861, Hits@10 Right = 0.857, Average Hits@10 = 0.859
Epoch 310: Hits@10 Left = 0.861, Hits@10 Right = 0.857, Average Hits@10 = 0.859
Epoch 315: Hits@10 Left = 0.862, Hits@10 Right = 0.857, Average Hits@10 = 0.859
Epoch 320: Hits@10 Left = 0.862, Hits@10 Right = 0.856, Average Hits@10 = 0.859
Epoch 325: Hits@10 Left = 0.862, Hits@10 Right = 0.856, Average Hits@10 = 0.859
Epoch 330: Hits@10 Left = 0.862, Hits@10 Right = 0.856, Average Hits@10 = 0.859
Epoch 335: Hits@10 Left = 0.862, Hits@10 Right = 0.857, Average Hits@10 = 0.859
Epoch 340: Hits@10 Left = 0.862, Hits@10 Right = 0.856, Average Hits@10 = 0.859
