Epoch 5: Hits@10 Left = 0.856, Hits@10 Right = 0.860, Average Hits@10 = 0.858
Epoch 10: Hits@10 Left = 0.866, Hits@10 Right = 0.866, Average Hits@10 = 0.866
Epoch 15: Hits@10 Left = 0.874, Hits@10 Right = 0.872, Average Hits@10 = 0.873
Epoch 20: Hits@10 Left = 0.880, Hits@10 Right = 0.880, Average Hits@10 = 0.880
Epoch 25: Hits@10 Left = 0.883, Hits@10 Right = 0.879, Average Hits@10 = 0.881
Epoch 30: Hits@10 Left = 0.889, Hits@10 Right = 0.882, Average Hits@10 = 0.886
Epoch 35: Hits@10 Left = 0.890, Hits@10 Right = 0.883, Average Hits@10 = 0.886
Epoch 40: Hits@10 Left = 0.894, Hits@10 Right = 0.885, Average Hits@10 = 0.889
Epoch 45: Hits@10 Left = 0.896, Hits@10 Right = 0.886, Average Hits@10 = 0.891
Epoch 50: Hits@10 Left = 0.896, Hits@10 Right = 0.888, Average Hits@10 = 0.892
Epoch 55: Hits@10 Left = 0.897, Hits@10 Right = 0.889, Average Hits@10 = 0.893
Epoch 60: Hits@10 Left = 0.900, Hits@10 Right = 0.891, Average Hits@10 = 0.895
Epoch 65: Hits@10 Left = 0.900, Hits@10 Right = 0.892, Average Hits@10 = 0.896
Epoch 70: Hits@10 Left = 0.900, Hits@10 Right = 0.895, Average Hits@10 = 0.898
Epoch 75: Hits@10 Left = 0.900, Hits@10 Right = 0.896, Average Hits@10 = 0.898
Epoch 80: Hits@10 Left = 0.902, Hits@10 Right = 0.897, Average Hits@10 = 0.900
Epoch 85: Hits@10 Left = 0.904, Hits@10 Right = 0.896, Average Hits@10 = 0.900
Epoch 90: Hits@10 Left = 0.906, Hits@10 Right = 0.897, Average Hits@10 = 0.901
Epoch 95: Hits@10 Left = 0.905, Hits@10 Right = 0.899, Average Hits@10 = 0.902
Epoch 100: Hits@10 Left = 0.906, Hits@10 Right = 0.900, Average Hits@10 = 0.903
Epoch 105: Hits@10 Left = 0.909, Hits@10 Right = 0.899, Average Hits@10 = 0.904
Epoch 110: Hits@10 Left = 0.908, Hits@10 Right = 0.900, Average Hits@10 = 0.904
Epoch 115: Hits@10 Left = 0.906, Hits@10 Right = 0.901, Average Hits@10 = 0.904
Epoch 120: Hits@10 Left = 0.908, Hits@10 Right = 0.901, Average Hits@10 = 0.905
Epoch 125: Hits@10 Left = 0.909, Hits@10 Right = 0.901, Average Hits@10 = 0.905
Epoch 130: Hits@10 Left = 0.908, Hits@10 Right = 0.902, Average Hits@10 = 0.905
Epoch 135: Hits@10 Left = 0.909, Hits@10 Right = 0.902, Average Hits@10 = 0.906
Epoch 140: Hits@10 Left = 0.908, Hits@10 Right = 0.902, Average Hits@10 = 0.905
Epoch 145: Hits@10 Left = 0.909, Hits@10 Right = 0.904, Average Hits@10 = 0.906
Epoch 150: Hits@10 Left = 0.909, Hits@10 Right = 0.901, Average Hits@10 = 0.905
Epoch 155: Hits@10 Left = 0.910, Hits@10 Right = 0.904, Average Hits@10 = 0.907
Epoch 160: Hits@10 Left = 0.911, Hits@10 Right = 0.903, Average Hits@10 = 0.907
Epoch 165: Hits@10 Left = 0.910, Hits@10 Right = 0.908, Average Hits@10 = 0.909
Epoch 170: Hits@10 Left = 0.909, Hits@10 Right = 0.907, Average Hits@10 = 0.908
Epoch 175: Hits@10 Left = 0.908, Hits@10 Right = 0.904, Average Hits@10 = 0.906
Epoch 180: Hits@10 Left = 0.911, Hits@10 Right = 0.905, Average Hits@10 = 0.908
Epoch 185: Hits@10 Left = 0.911, Hits@10 Right = 0.907, Average Hits@10 = 0.909
Epoch 190: Hits@10 Left = 0.911, Hits@10 Right = 0.907, Average Hits@10 = 0.909
Epoch 195: Hits@10 Left = 0.909, Hits@10 Right = 0.907, Average Hits@10 = 0.908
Epoch 200: Hits@10 Left = 0.912, Hits@10 Right = 0.907, Average Hits@10 = 0.909
Epoch 205: Hits@10 Left = 0.911, Hits@10 Right = 0.908, Average Hits@10 = 0.909
Epoch 210: Hits@10 Left = 0.912, Hits@10 Right = 0.906, Average Hits@10 = 0.909
Epoch 215: Hits@10 Left = 0.909, Hits@10 Right = 0.908, Average Hits@10 = 0.908
Epoch 220: Hits@10 Left = 0.911, Hits@10 Right = 0.905, Average Hits@10 = 0.908
Epoch 225: Hits@10 Left = 0.913, Hits@10 Right = 0.907, Average Hits@10 = 0.910
Epoch 230: Hits@10 Left = 0.912, Hits@10 Right = 0.907, Average Hits@10 = 0.910
Epoch 235: Hits@10 Left = 0.908, Hits@10 Right = 0.906, Average Hits@10 = 0.907
