Epoch 5: Hits@1 Left = 0.683, Hits@1 Right = 0.652, Average Hits@1 = 0.667
Epoch 10: Hits@1 Left = 0.676, Hits@1 Right = 0.646, Average Hits@1 = 0.661
Epoch 15: Hits@1 Left = 0.691, Hits@1 Right = 0.657, Average Hits@1 = 0.674
Epoch 20: Hits@1 Left = 0.693, Hits@1 Right = 0.665, Average Hits@1 = 0.679
Epoch 25: Hits@1 Left = 0.691, Hits@1 Right = 0.663, Average Hits@1 = 0.677
Epoch 30: Hits@1 Left = 0.695, Hits@1 Right = 0.661, Average Hits@1 = 0.678
Epoch 35: Hits@1 Left = 0.699, Hits@1 Right = 0.663, Average Hits@1 = 0.681
Epoch 40: Hits@1 Left = 0.701, Hits@1 Right = 0.667, Average Hits@1 = 0.684
Epoch 45: Hits@1 Left = 0.705, Hits@1 Right = 0.669, Average Hits@1 = 0.687
Epoch 50: Hits@1 Left = 0.700, Hits@1 Right = 0.668, Average Hits@1 = 0.684
Epoch 55: Hits@1 Left = 0.702, Hits@1 Right = 0.672, Average Hits@1 = 0.687
Epoch 60: Hits@1 Left = 0.701, Hits@1 Right = 0.672, Average Hits@1 = 0.687
Epoch 65: Hits@1 Left = 0.701, Hits@1 Right = 0.667, Average Hits@1 = 0.684
Epoch 70: Hits@1 Left = 0.705, Hits@1 Right = 0.669, Average Hits@1 = 0.687
Epoch 75: Hits@1 Left = 0.704, Hits@1 Right = 0.673, Average Hits@1 = 0.689
Epoch 80: Hits@1 Left = 0.702, Hits@1 Right = 0.673, Average Hits@1 = 0.688
Epoch 85: Hits@1 Left = 0.703, Hits@1 Right = 0.674, Average Hits@1 = 0.689
Epoch 90: Hits@1 Left = 0.704, Hits@1 Right = 0.672, Average Hits@1 = 0.688
Epoch 95: Hits@1 Left = 0.702, Hits@1 Right = 0.673, Average Hits@1 = 0.688
Epoch 100: Hits@1 Left = 0.705, Hits@1 Right = 0.673, Average Hits@1 = 0.689
Epoch 105: Hits@1 Left = 0.705, Hits@1 Right = 0.673, Average Hits@1 = 0.689
Epoch 110: Hits@1 Left = 0.704, Hits@1 Right = 0.672, Average Hits@1 = 0.688
Epoch 115: Hits@1 Left = 0.708, Hits@1 Right = 0.675, Average Hits@1 = 0.691
Epoch 120: Hits@1 Left = 0.707, Hits@1 Right = 0.672, Average Hits@1 = 0.689
Epoch 125: Hits@1 Left = 0.707, Hits@1 Right = 0.674, Average Hits@1 = 0.690
Epoch 130: Hits@1 Left = 0.706, Hits@1 Right = 0.675, Average Hits@1 = 0.690
Epoch 135: Hits@1 Left = 0.709, Hits@1 Right = 0.676, Average Hits@1 = 0.692
Epoch 140: Hits@1 Left = 0.706, Hits@1 Right = 0.669, Average Hits@1 = 0.688
Epoch 145: Hits@1 Left = 0.709, Hits@1 Right = 0.673, Average Hits@1 = 0.691
Epoch 150: Hits@1 Left = 0.712, Hits@1 Right = 0.676, Average Hits@1 = 0.694
Epoch 155: Hits@1 Left = 0.707, Hits@1 Right = 0.673, Average Hits@1 = 0.690
Epoch 160: Hits@1 Left = 0.706, Hits@1 Right = 0.672, Average Hits@1 = 0.689
Epoch 165: Hits@1 Left = 0.708, Hits@1 Right = 0.671, Average Hits@1 = 0.690
Epoch 170: Hits@1 Left = 0.706, Hits@1 Right = 0.670, Average Hits@1 = 0.688
Epoch 175: Hits@1 Left = 0.704, Hits@1 Right = 0.674, Average Hits@1 = 0.689
Epoch 180: Hits@1 Left = 0.702, Hits@1 Right = 0.673, Average Hits@1 = 0.688
Epoch 185: Hits@1 Left = 0.707, Hits@1 Right = 0.676, Average Hits@1 = 0.692
Epoch 190: Hits@1 Left = 0.708, Hits@1 Right = 0.676, Average Hits@1 = 0.692
Epoch 195: Hits@1 Left = 0.704, Hits@1 Right = 0.674, Average Hits@1 = 0.689
Epoch 200: Hits@1 Left = 0.703, Hits@1 Right = 0.675, Average Hits@1 = 0.689
Epoch 205: Hits@1 Left = 0.707, Hits@1 Right = 0.677, Average Hits@1 = 0.692
Epoch 210: Hits@1 Left = 0.706, Hits@1 Right = 0.677, Average Hits@1 = 0.692
Epoch 215: Hits@1 Left = 0.706, Hits@1 Right = 0.676, Average Hits@1 = 0.691
Epoch 220: Hits@1 Left = 0.705, Hits@1 Right = 0.679, Average Hits@1 = 0.692
Epoch 225: Hits@1 Left = 0.704, Hits@1 Right = 0.679, Average Hits@1 = 0.692
Epoch 230: Hits@1 Left = 0.706, Hits@1 Right = 0.678, Average Hits@1 = 0.692
Epoch 235: Hits@1 Left = 0.705, Hits@1 Right = 0.678, Average Hits@1 = 0.692
Epoch 240: Hits@1 Left = 0.704, Hits@1 Right = 0.674, Average Hits@1 = 0.689
Epoch 245: Hits@1 Left = 0.705, Hits@1 Right = 0.675, Average Hits@1 = 0.690
Epoch 250: Hits@1 Left = 0.703, Hits@1 Right = 0.678, Average Hits@1 = 0.690
Epoch 255: Hits@1 Left = 0.704, Hits@1 Right = 0.677, Average Hits@1 = 0.690
Epoch 260: Hits@1 Left = 0.703, Hits@1 Right = 0.675, Average Hits@1 = 0.689
Epoch 265: Hits@1 Left = 0.704, Hits@1 Right = 0.678, Average Hits@1 = 0.691
