Epoch 5: Hits@1 Left = 0.487, Hits@1 Right = 0.468, Average Hits@1 = 0.477
Epoch 10: Hits@1 Left = 0.487, Hits@1 Right = 0.459, Average Hits@1 = 0.473
Epoch 15: Hits@1 Left = 0.515, Hits@1 Right = 0.497, Average Hits@1 = 0.506
Epoch 20: Hits@1 Left = 0.523, Hits@1 Right = 0.500, Average Hits@1 = 0.512
Epoch 25: Hits@1 Left = 0.514, Hits@1 Right = 0.493, Average Hits@1 = 0.504
Epoch 30: Hits@1 Left = 0.530, Hits@1 Right = 0.519, Average Hits@1 = 0.524
Epoch 35: Hits@1 Left = 0.525, Hits@1 Right = 0.508, Average Hits@1 = 0.517
Epoch 40: Hits@1 Left = 0.531, Hits@1 Right = 0.524, Average Hits@1 = 0.528
Epoch 45: Hits@1 Left = 0.517, Hits@1 Right = 0.497, Average Hits@1 = 0.507
Epoch 50: Hits@1 Left = 0.538, Hits@1 Right = 0.524, Average Hits@1 = 0.531
Epoch 55: Hits@1 Left = 0.533, Hits@1 Right = 0.523, Average Hits@1 = 0.528
Epoch 60: Hits@1 Left = 0.535, Hits@1 Right = 0.522, Average Hits@1 = 0.529
Epoch 65: Hits@1 Left = 0.531, Hits@1 Right = 0.517, Average Hits@1 = 0.524
Epoch 70: Hits@1 Left = 0.538, Hits@1 Right = 0.527, Average Hits@1 = 0.533
Epoch 75: Hits@1 Left = 0.534, Hits@1 Right = 0.535, Average Hits@1 = 0.534
Epoch 80: Hits@1 Left = 0.542, Hits@1 Right = 0.527, Average Hits@1 = 0.534
Epoch 85: Hits@1 Left = 0.541, Hits@1 Right = 0.521, Average Hits@1 = 0.531
Epoch 90: Hits@1 Left = 0.547, Hits@1 Right = 0.527, Average Hits@1 = 0.537
Epoch 95: Hits@1 Left = 0.539, Hits@1 Right = 0.531, Average Hits@1 = 0.535
Epoch 100: Hits@1 Left = 0.547, Hits@1 Right = 0.531, Average Hits@1 = 0.539
Epoch 105: Hits@1 Left = 0.546, Hits@1 Right = 0.529, Average Hits@1 = 0.537
Epoch 110: Hits@1 Left = 0.549, Hits@1 Right = 0.536, Average Hits@1 = 0.542
Epoch 115: Hits@1 Left = 0.534, Hits@1 Right = 0.513, Average Hits@1 = 0.524
Epoch 120: Hits@1 Left = 0.551, Hits@1 Right = 0.543, Average Hits@1 = 0.547
Epoch 125: Hits@1 Left = 0.540, Hits@1 Right = 0.526, Average Hits@1 = 0.533
Epoch 130: Hits@1 Left = 0.552, Hits@1 Right = 0.531, Average Hits@1 = 0.541
Epoch 135: Hits@1 Left = 0.542, Hits@1 Right = 0.524, Average Hits@1 = 0.533
Epoch 140: Hits@1 Left = 0.547, Hits@1 Right = 0.542, Average Hits@1 = 0.544
Epoch 145: Hits@1 Left = 0.549, Hits@1 Right = 0.535, Average Hits@1 = 0.542
Epoch 150: Hits@1 Left = 0.549, Hits@1 Right = 0.531, Average Hits@1 = 0.540
Epoch 155: Hits@1 Left = 0.550, Hits@1 Right = 0.536, Average Hits@1 = 0.543
Epoch 160: Hits@1 Left = 0.545, Hits@1 Right = 0.535, Average Hits@1 = 0.540
Epoch 165: Hits@1 Left = 0.553, Hits@1 Right = 0.542, Average Hits@1 = 0.548
Epoch 170: Hits@1 Left = 0.545, Hits@1 Right = 0.527, Average Hits@1 = 0.536
