Epoch 5: Hits@1 Left = 0.741, Hits@1 Right = 0.724, Average Hits@1 = 0.733
Epoch 10: Hits@1 Left = 0.741, Hits@1 Right = 0.723, Average Hits@1 = 0.732
Epoch 15: Hits@1 Left = 0.747, Hits@1 Right = 0.725, Average Hits@1 = 0.736
Epoch 20: Hits@1 Left = 0.749, Hits@1 Right = 0.729, Average Hits@1 = 0.739
Epoch 25: Hits@1 Left = 0.749, Hits@1 Right = 0.732, Average Hits@1 = 0.741
Epoch 30: Hits@1 Left = 0.754, Hits@1 Right = 0.733, Average Hits@1 = 0.743
Epoch 35: Hits@1 Left = 0.754, Hits@1 Right = 0.732, Average Hits@1 = 0.743
Epoch 40: Hits@1 Left = 0.759, Hits@1 Right = 0.734, Average Hits@1 = 0.746
Epoch 45: Hits@1 Left = 0.760, Hits@1 Right = 0.736, Average Hits@1 = 0.748
Epoch 50: Hits@1 Left = 0.761, Hits@1 Right = 0.740, Average Hits@1 = 0.750
Epoch 55: Hits@1 Left = 0.763, Hits@1 Right = 0.738, Average Hits@1 = 0.750
Epoch 60: Hits@1 Left = 0.764, Hits@1 Right = 0.735, Average Hits@1 = 0.750
Epoch 65: Hits@1 Left = 0.763, Hits@1 Right = 0.737, Average Hits@1 = 0.750
Epoch 70: Hits@1 Left = 0.766, Hits@1 Right = 0.737, Average Hits@1 = 0.751
Epoch 75: Hits@1 Left = 0.768, Hits@1 Right = 0.737, Average Hits@1 = 0.752
Epoch 80: Hits@1 Left = 0.766, Hits@1 Right = 0.737, Average Hits@1 = 0.751
Epoch 85: Hits@1 Left = 0.767, Hits@1 Right = 0.741, Average Hits@1 = 0.754
Epoch 90: Hits@1 Left = 0.769, Hits@1 Right = 0.738, Average Hits@1 = 0.754
Epoch 95: Hits@1 Left = 0.768, Hits@1 Right = 0.737, Average Hits@1 = 0.753
Epoch 100: Hits@1 Left = 0.765, Hits@1 Right = 0.739, Average Hits@1 = 0.752
Epoch 105: Hits@1 Left = 0.774, Hits@1 Right = 0.737, Average Hits@1 = 0.756
Epoch 110: Hits@1 Left = 0.769, Hits@1 Right = 0.740, Average Hits@1 = 0.754
