Epoch 5: Hits@1 Left = 0.511, Hits@1 Right = 0.511, Average Hits@1 = 0.511
Epoch 10: Hits@1 Left = 0.525, Hits@1 Right = 0.523, Average Hits@1 = 0.524
Epoch 15: Hits@1 Left = 0.549, Hits@1 Right = 0.551, Average Hits@1 = 0.550
Epoch 20: Hits@1 Left = 0.560, Hits@1 Right = 0.561, Average Hits@1 = 0.561
Epoch 25: Hits@1 Left = 0.555, Hits@1 Right = 0.544, Average Hits@1 = 0.550
Epoch 30: Hits@1 Left = 0.581, Hits@1 Right = 0.563, Average Hits@1 = 0.572
Epoch 35: Hits@1 Left = 0.576, Hits@1 Right = 0.571, Average Hits@1 = 0.573
Epoch 40: Hits@1 Left = 0.581, Hits@1 Right = 0.568, Average Hits@1 = 0.574
Epoch 45: Hits@1 Left = 0.570, Hits@1 Right = 0.550, Average Hits@1 = 0.560
Epoch 50: Hits@1 Left = 0.583, Hits@1 Right = 0.580, Average Hits@1 = 0.581
Epoch 55: Hits@1 Left = 0.585, Hits@1 Right = 0.582, Average Hits@1 = 0.583
Epoch 60: Hits@1 Left = 0.578, Hits@1 Right = 0.570, Average Hits@1 = 0.574
Epoch 65: Hits@1 Left = 0.578, Hits@1 Right = 0.564, Average Hits@1 = 0.571
Epoch 70: Hits@1 Left = 0.586, Hits@1 Right = 0.582, Average Hits@1 = 0.584
Epoch 75: Hits@1 Left = 0.585, Hits@1 Right = 0.576, Average Hits@1 = 0.580
Epoch 80: Hits@1 Left = 0.587, Hits@1 Right = 0.572, Average Hits@1 = 0.580
Epoch 85: Hits@1 Left = 0.584, Hits@1 Right = 0.581, Average Hits@1 = 0.582
Epoch 90: Hits@1 Left = 0.591, Hits@1 Right = 0.589, Average Hits@1 = 0.590
Epoch 95: Hits@1 Left = 0.588, Hits@1 Right = 0.578, Average Hits@1 = 0.583
Epoch 100: Hits@1 Left = 0.592, Hits@1 Right = 0.582, Average Hits@1 = 0.587
Epoch 105: Hits@1 Left = 0.581, Hits@1 Right = 0.581, Average Hits@1 = 0.581
Epoch 110: Hits@1 Left = 0.596, Hits@1 Right = 0.586, Average Hits@1 = 0.591
Epoch 115: Hits@1 Left = 0.591, Hits@1 Right = 0.576, Average Hits@1 = 0.583
Epoch 120: Hits@1 Left = 0.588, Hits@1 Right = 0.580, Average Hits@1 = 0.584
Epoch 125: Hits@1 Left = 0.591, Hits@1 Right = 0.587, Average Hits@1 = 0.589
Epoch 130: Hits@1 Left = 0.587, Hits@1 Right = 0.569, Average Hits@1 = 0.578
Epoch 135: Hits@1 Left = 0.595, Hits@1 Right = 0.585, Average Hits@1 = 0.590
Epoch 140: Hits@1 Left = 0.589, Hits@1 Right = 0.582, Average Hits@1 = 0.585
Epoch 145: Hits@1 Left = 0.596, Hits@1 Right = 0.584, Average Hits@1 = 0.590
Epoch 150: Hits@1 Left = 0.596, Hits@1 Right = 0.582, Average Hits@1 = 0.589
Epoch 155: Hits@1 Left = 0.592, Hits@1 Right = 0.586, Average Hits@1 = 0.589
Epoch 160: Hits@1 Left = 0.596, Hits@1 Right = 0.591, Average Hits@1 = 0.594
Epoch 165: Hits@1 Left = 0.592, Hits@1 Right = 0.580, Average Hits@1 = 0.586
Epoch 170: Hits@1 Left = 0.596, Hits@1 Right = 0.590, Average Hits@1 = 0.593
Epoch 175: Hits@1 Left = 0.586, Hits@1 Right = 0.582, Average Hits@1 = 0.584
Epoch 180: Hits@1 Left = 0.596, Hits@1 Right = 0.592, Average Hits@1 = 0.594
Epoch 185: Hits@1 Left = 0.590, Hits@1 Right = 0.579, Average Hits@1 = 0.584
Epoch 190: Hits@1 Left = 0.595, Hits@1 Right = 0.591, Average Hits@1 = 0.593
Epoch 195: Hits@1 Left = 0.586, Hits@1 Right = 0.581, Average Hits@1 = 0.583
