Epoch 5: Hits@1 Left = 0.745, Hits@1 Right = 0.727, Average Hits@1 = 0.736
Epoch 10: Hits@1 Left = 0.744, Hits@1 Right = 0.726, Average Hits@1 = 0.735
Epoch 15: Hits@1 Left = 0.748, Hits@1 Right = 0.728, Average Hits@1 = 0.738
Epoch 20: Hits@1 Left = 0.750, Hits@1 Right = 0.729, Average Hits@1 = 0.740
Epoch 25: Hits@1 Left = 0.749, Hits@1 Right = 0.730, Average Hits@1 = 0.739
Epoch 30: Hits@1 Left = 0.751, Hits@1 Right = 0.732, Average Hits@1 = 0.741
Epoch 35: Hits@1 Left = 0.752, Hits@1 Right = 0.733, Average Hits@1 = 0.742
Epoch 40: Hits@1 Left = 0.754, Hits@1 Right = 0.734, Average Hits@1 = 0.744
Epoch 45: Hits@1 Left = 0.756, Hits@1 Right = 0.735, Average Hits@1 = 0.745
Epoch 50: Hits@1 Left = 0.755, Hits@1 Right = 0.734, Average Hits@1 = 0.744
Epoch 55: Hits@1 Left = 0.756, Hits@1 Right = 0.735, Average Hits@1 = 0.745
Epoch 60: Hits@1 Left = 0.756, Hits@1 Right = 0.735, Average Hits@1 = 0.745
Epoch 65: Hits@1 Left = 0.756, Hits@1 Right = 0.736, Average Hits@1 = 0.746
Epoch 70: Hits@1 Left = 0.758, Hits@1 Right = 0.736, Average Hits@1 = 0.747
Epoch 75: Hits@1 Left = 0.758, Hits@1 Right = 0.738, Average Hits@1 = 0.748
Epoch 80: Hits@1 Left = 0.759, Hits@1 Right = 0.737, Average Hits@1 = 0.748
Epoch 85: Hits@1 Left = 0.758, Hits@1 Right = 0.737, Average Hits@1 = 0.748
Epoch 90: Hits@1 Left = 0.759, Hits@1 Right = 0.739, Average Hits@1 = 0.749
Epoch 95: Hits@1 Left = 0.759, Hits@1 Right = 0.738, Average Hits@1 = 0.748
Epoch 100: Hits@1 Left = 0.760, Hits@1 Right = 0.739, Average Hits@1 = 0.749
Epoch 105: Hits@1 Left = 0.759, Hits@1 Right = 0.740, Average Hits@1 = 0.749
Epoch 110: Hits@1 Left = 0.759, Hits@1 Right = 0.739, Average Hits@1 = 0.749
Epoch 115: Hits@1 Left = 0.759, Hits@1 Right = 0.739, Average Hits@1 = 0.749
Epoch 120: Hits@1 Left = 0.759, Hits@1 Right = 0.739, Average Hits@1 = 0.749
Epoch 125: Hits@1 Left = 0.760, Hits@1 Right = 0.738, Average Hits@1 = 0.749
Epoch 130: Hits@1 Left = 0.760, Hits@1 Right = 0.738, Average Hits@1 = 0.749
Epoch 135: Hits@1 Left = 0.761, Hits@1 Right = 0.738, Average Hits@1 = 0.750
Epoch 140: Hits@1 Left = 0.762, Hits@1 Right = 0.739, Average Hits@1 = 0.750
Epoch 145: Hits@1 Left = 0.762, Hits@1 Right = 0.739, Average Hits@1 = 0.750
Epoch 150: Hits@1 Left = 0.763, Hits@1 Right = 0.739, Average Hits@1 = 0.751
Epoch 155: Hits@1 Left = 0.762, Hits@1 Right = 0.739, Average Hits@1 = 0.750
Epoch 160: Hits@1 Left = 0.763, Hits@1 Right = 0.739, Average Hits@1 = 0.751
Epoch 165: Hits@1 Left = 0.764, Hits@1 Right = 0.739, Average Hits@1 = 0.751
Epoch 170: Hits@1 Left = 0.764, Hits@1 Right = 0.739, Average Hits@1 = 0.752
Epoch 175: Hits@1 Left = 0.764, Hits@1 Right = 0.740, Average Hits@1 = 0.752
Epoch 180: Hits@1 Left = 0.764, Hits@1 Right = 0.740, Average Hits@1 = 0.752
Epoch 185: Hits@1 Left = 0.764, Hits@1 Right = 0.740, Average Hits@1 = 0.752
Epoch 190: Hits@1 Left = 0.765, Hits@1 Right = 0.740, Average Hits@1 = 0.752
Epoch 195: Hits@1 Left = 0.765, Hits@1 Right = 0.740, Average Hits@1 = 0.752
Epoch 200: Hits@1 Left = 0.765, Hits@1 Right = 0.741, Average Hits@1 = 0.753
Epoch 205: Hits@1 Left = 0.766, Hits@1 Right = 0.741, Average Hits@1 = 0.753
Epoch 210: Hits@1 Left = 0.766, Hits@1 Right = 0.741, Average Hits@1 = 0.754
Epoch 215: Hits@1 Left = 0.767, Hits@1 Right = 0.742, Average Hits@1 = 0.754
Epoch 220: Hits@1 Left = 0.767, Hits@1 Right = 0.742, Average Hits@1 = 0.754
Epoch 225: Hits@1 Left = 0.768, Hits@1 Right = 0.742, Average Hits@1 = 0.755
Epoch 230: Hits@1 Left = 0.768, Hits@1 Right = 0.742, Average Hits@1 = 0.755
Epoch 235: Hits@1 Left = 0.768, Hits@1 Right = 0.742, Average Hits@1 = 0.755
Epoch 240: Hits@1 Left = 0.767, Hits@1 Right = 0.742, Average Hits@1 = 0.755
Epoch 245: Hits@1 Left = 0.767, Hits@1 Right = 0.742, Average Hits@1 = 0.754
Epoch 250: Hits@1 Left = 0.767, Hits@1 Right = 0.742, Average Hits@1 = 0.755
Epoch 255: Hits@1 Left = 0.767, Hits@1 Right = 0.743, Average Hits@1 = 0.755
Epoch 260: Hits@1 Left = 0.767, Hits@1 Right = 0.743, Average Hits@1 = 0.755
