Epoch 5: Hits@10 Left = 0.838, Hits@10 Right = 0.839, Average Hits@10 = 0.838
Epoch 10: Hits@10 Left = 0.914, Hits@10 Right = 0.919, Average Hits@10 = 0.917
Epoch 15: Hits@10 Left = 0.943, Hits@10 Right = 0.940, Average Hits@10 = 0.942
Epoch 20: Hits@10 Left = 0.943, Hits@10 Right = 0.941, Average Hits@10 = 0.942
Epoch 25: Hits@10 Left = 0.946, Hits@10 Right = 0.941, Average Hits@10 = 0.944
Epoch 30: Hits@10 Left = 0.932, Hits@10 Right = 0.932, Average Hits@10 = 0.932
Epoch 35: Hits@10 Left = 0.942, Hits@10 Right = 0.941, Average Hits@10 = 0.941
Epoch 40: Hits@10 Left = 0.953, Hits@10 Right = 0.952, Average Hits@10 = 0.952
Epoch 45: Hits@10 Left = 0.958, Hits@10 Right = 0.963, Average Hits@10 = 0.960
Epoch 50: Hits@10 Left = 0.963, Hits@10 Right = 0.966, Average Hits@10 = 0.964
Epoch 55: Hits@10 Left = 0.967, Hits@10 Right = 0.971, Average Hits@10 = 0.969
Epoch 60: Hits@10 Left = 0.971, Hits@10 Right = 0.968, Average Hits@10 = 0.969
Epoch 65: Hits@10 Left = 0.975, Hits@10 Right = 0.971, Average Hits@10 = 0.973
Epoch 70: Hits@10 Left = 0.974, Hits@10 Right = 0.973, Average Hits@10 = 0.973
Epoch 75: Hits@10 Left = 0.974, Hits@10 Right = 0.976, Average Hits@10 = 0.975
Epoch 80: Hits@10 Left = 0.976, Hits@10 Right = 0.979, Average Hits@10 = 0.977
Epoch 85: Hits@10 Left = 0.978, Hits@10 Right = 0.980, Average Hits@10 = 0.979
Epoch 90: Hits@10 Left = 0.980, Hits@10 Right = 0.981, Average Hits@10 = 0.981
Epoch 95: Hits@10 Left = 0.980, Hits@10 Right = 0.980, Average Hits@10 = 0.980
Epoch 100: Hits@10 Left = 0.981, Hits@10 Right = 0.981, Average Hits@10 = 0.981
Epoch 105: Hits@10 Left = 0.984, Hits@10 Right = 0.982, Average Hits@10 = 0.983
Epoch 110: Hits@10 Left = 0.984, Hits@10 Right = 0.984, Average Hits@10 = 0.984
Epoch 115: Hits@10 Left = 0.985, Hits@10 Right = 0.985, Average Hits@10 = 0.985
Epoch 120: Hits@10 Left = 0.986, Hits@10 Right = 0.984, Average Hits@10 = 0.985
Epoch 125: Hits@10 Left = 0.988, Hits@10 Right = 0.986, Average Hits@10 = 0.987
Epoch 130: Hits@10 Left = 0.986, Hits@10 Right = 0.986, Average Hits@10 = 0.986
Epoch 135: Hits@10 Left = 0.989, Hits@10 Right = 0.988, Average Hits@10 = 0.988
Epoch 140: Hits@10 Left = 0.988, Hits@10 Right = 0.988, Average Hits@10 = 0.988
Epoch 145: Hits@10 Left = 0.989, Hits@10 Right = 0.988, Average Hits@10 = 0.988
Epoch 150: Hits@10 Left = 0.989, Hits@10 Right = 0.988, Average Hits@10 = 0.988
Epoch 155: Hits@10 Left = 0.989, Hits@10 Right = 0.988, Average Hits@10 = 0.988
Epoch 160: Hits@10 Left = 0.991, Hits@10 Right = 0.988, Average Hits@10 = 0.989
Epoch 165: Hits@10 Left = 0.990, Hits@10 Right = 0.988, Average Hits@10 = 0.989
Epoch 170: Hits@10 Left = 0.990, Hits@10 Right = 0.988, Average Hits@10 = 0.989
Epoch 175: Hits@10 Left = 0.990, Hits@10 Right = 0.988, Average Hits@10 = 0.989
Epoch 180: Hits@10 Left = 0.991, Hits@10 Right = 0.988, Average Hits@10 = 0.990
Epoch 185: Hits@10 Left = 0.991, Hits@10 Right = 0.988, Average Hits@10 = 0.990
Epoch 190: Hits@10 Left = 0.991, Hits@10 Right = 0.989, Average Hits@10 = 0.990
Epoch 195: Hits@10 Left = 0.991, Hits@10 Right = 0.989, Average Hits@10 = 0.990
Epoch 200: Hits@10 Left = 0.991, Hits@10 Right = 0.989, Average Hits@10 = 0.990
Epoch 205: Hits@10 Left = 0.991, Hits@10 Right = 0.989, Average Hits@10 = 0.990
Epoch 210: Hits@10 Left = 0.989, Hits@10 Right = 0.989, Average Hits@10 = 0.989
Epoch 215: Hits@10 Left = 0.991, Hits@10 Right = 0.989, Average Hits@10 = 0.990
Epoch 220: Hits@10 Left = 0.990, Hits@10 Right = 0.990, Average Hits@10 = 0.990
Epoch 225: Hits@10 Left = 0.990, Hits@10 Right = 0.990, Average Hits@10 = 0.990
Epoch 230: Hits@10 Left = 0.990, Hits@10 Right = 0.989, Average Hits@10 = 0.990
Epoch 235: Hits@10 Left = 0.989, Hits@10 Right = 0.989, Average Hits@10 = 0.989
Epoch 240: Hits@10 Left = 0.990, Hits@10 Right = 0.990, Average Hits@10 = 0.990
Epoch 245: Hits@10 Left = 0.990, Hits@10 Right = 0.990, Average Hits@10 = 0.990
Epoch 250: Hits@10 Left = 0.989, Hits@10 Right = 0.990, Average Hits@10 = 0.990
Epoch 255: Hits@10 Left = 0.990, Hits@10 Right = 0.989, Average Hits@10 = 0.990
Epoch 260: Hits@10 Left = 0.989, Hits@10 Right = 0.990, Average Hits@10 = 0.989
Epoch 265: Hits@10 Left = 0.989, Hits@10 Right = 0.990, Average Hits@10 = 0.990
Epoch 270: Hits@10 Left = 0.990, Hits@10 Right = 0.992, Average Hits@10 = 0.991
Epoch 275: Hits@10 Left = 0.990, Hits@10 Right = 0.991, Average Hits@10 = 0.990
Epoch 280: Hits@10 Left = 0.990, Hits@10 Right = 0.990, Average Hits@10 = 0.990
Epoch 285: Hits@10 Left = 0.990, Hits@10 Right = 0.990, Average Hits@10 = 0.990
Epoch 290: Hits@10 Left = 0.989, Hits@10 Right = 0.992, Average Hits@10 = 0.991
Epoch 295: Hits@10 Left = 0.989, Hits@10 Right = 0.991, Average Hits@10 = 0.990
Epoch 300: Hits@10 Left = 0.988, Hits@10 Right = 0.991, Average Hits@10 = 0.990
Epoch 305: Hits@10 Left = 0.988, Hits@10 Right = 0.991, Average Hits@10 = 0.990
Epoch 310: Hits@10 Left = 0.988, Hits@10 Right = 0.990, Average Hits@10 = 0.989
Epoch 315: Hits@10 Left = 0.989, Hits@10 Right = 0.991, Average Hits@10 = 0.990
Epoch 320: Hits@10 Left = 0.989, Hits@10 Right = 0.991, Average Hits@10 = 0.990
Epoch 325: Hits@10 Left = 0.990, Hits@10 Right = 0.990, Average Hits@10 = 0.990
Epoch 330: Hits@10 Left = 0.989, Hits@10 Right = 0.991, Average Hits@10 = 0.990
Epoch 335: Hits@10 Left = 0.988, Hits@10 Right = 0.991, Average Hits@10 = 0.990
Epoch 340: Hits@10 Left = 0.990, Hits@10 Right = 0.991, Average Hits@10 = 0.991
