Epoch 5: Hits@10 Left = 0.889, Hits@10 Right = 0.886, Average Hits@10 = 0.888
Epoch 10: Hits@10 Left = 0.886, Hits@10 Right = 0.893, Average Hits@10 = 0.890
Epoch 15: Hits@10 Left = 0.898, Hits@10 Right = 0.915, Average Hits@10 = 0.906
Epoch 20: Hits@10 Left = 0.911, Hits@10 Right = 0.926, Average Hits@10 = 0.918
Epoch 25: Hits@10 Left = 0.920, Hits@10 Right = 0.934, Average Hits@10 = 0.927
Epoch 30: Hits@10 Left = 0.924, Hits@10 Right = 0.935, Average Hits@10 = 0.930
Epoch 35: Hits@10 Left = 0.920, Hits@10 Right = 0.932, Average Hits@10 = 0.926
Epoch 40: Hits@10 Left = 0.936, Hits@10 Right = 0.940, Average Hits@10 = 0.938
Epoch 45: Hits@10 Left = 0.944, Hits@10 Right = 0.952, Average Hits@10 = 0.948
Epoch 50: Hits@10 Left = 0.946, Hits@10 Right = 0.958, Average Hits@10 = 0.952
Epoch 55: Hits@10 Left = 0.955, Hits@10 Right = 0.955, Average Hits@10 = 0.955
Epoch 60: Hits@10 Left = 0.955, Hits@10 Right = 0.955, Average Hits@10 = 0.955
Epoch 65: Hits@10 Left = 0.960, Hits@10 Right = 0.961, Average Hits@10 = 0.960
Epoch 70: Hits@10 Left = 0.959, Hits@10 Right = 0.963, Average Hits@10 = 0.961
Epoch 75: Hits@10 Left = 0.959, Hits@10 Right = 0.964, Average Hits@10 = 0.962
Epoch 80: Hits@10 Left = 0.960, Hits@10 Right = 0.964, Average Hits@10 = 0.962
Epoch 85: Hits@10 Left = 0.963, Hits@10 Right = 0.968, Average Hits@10 = 0.966
Epoch 90: Hits@10 Left = 0.961, Hits@10 Right = 0.967, Average Hits@10 = 0.964
Epoch 95: Hits@10 Left = 0.963, Hits@10 Right = 0.969, Average Hits@10 = 0.966
Epoch 100: Hits@10 Left = 0.966, Hits@10 Right = 0.968, Average Hits@10 = 0.967
Epoch 105: Hits@10 Left = 0.966, Hits@10 Right = 0.970, Average Hits@10 = 0.968
Epoch 110: Hits@10 Left = 0.965, Hits@10 Right = 0.972, Average Hits@10 = 0.969
Epoch 115: Hits@10 Left = 0.966, Hits@10 Right = 0.974, Average Hits@10 = 0.970
Epoch 120: Hits@10 Left = 0.968, Hits@10 Right = 0.973, Average Hits@10 = 0.970
Epoch 125: Hits@10 Left = 0.969, Hits@10 Right = 0.974, Average Hits@10 = 0.972
Epoch 130: Hits@10 Left = 0.968, Hits@10 Right = 0.974, Average Hits@10 = 0.971
Epoch 135: Hits@10 Left = 0.970, Hits@10 Right = 0.975, Average Hits@10 = 0.972
