Epoch 5: Hits@1 Left = 0.901, Hits@1 Right = 0.871, Average Hits@1 = 0.886
Epoch 10: Hits@1 Left = 0.902, Hits@1 Right = 0.879, Average Hits@1 = 0.890
Epoch 15: Hits@1 Left = 0.903, Hits@1 Right = 0.882, Average Hits@1 = 0.892
Epoch 20: Hits@1 Left = 0.905, Hits@1 Right = 0.881, Average Hits@1 = 0.893
Epoch 25: Hits@1 Left = 0.905, Hits@1 Right = 0.880, Average Hits@1 = 0.892
Epoch 30: Hits@1 Left = 0.905, Hits@1 Right = 0.883, Average Hits@1 = 0.894
Epoch 35: Hits@1 Left = 0.905, Hits@1 Right = 0.884, Average Hits@1 = 0.894
Epoch 40: Hits@1 Left = 0.906, Hits@1 Right = 0.885, Average Hits@1 = 0.896
Epoch 45: Hits@1 Left = 0.907, Hits@1 Right = 0.887, Average Hits@1 = 0.897
Epoch 50: Hits@1 Left = 0.905, Hits@1 Right = 0.888, Average Hits@1 = 0.896
Epoch 55: Hits@1 Left = 0.906, Hits@1 Right = 0.889, Average Hits@1 = 0.898
Epoch 60: Hits@1 Left = 0.905, Hits@1 Right = 0.891, Average Hits@1 = 0.898
Epoch 65: Hits@1 Left = 0.906, Hits@1 Right = 0.889, Average Hits@1 = 0.898
Epoch 70: Hits@1 Left = 0.904, Hits@1 Right = 0.886, Average Hits@1 = 0.895
Epoch 75: Hits@1 Left = 0.904, Hits@1 Right = 0.888, Average Hits@1 = 0.896
Epoch 80: Hits@1 Left = 0.905, Hits@1 Right = 0.889, Average Hits@1 = 0.897
Epoch 85: Hits@1 Left = 0.904, Hits@1 Right = 0.887, Average Hits@1 = 0.896
Epoch 90: Hits@1 Left = 0.905, Hits@1 Right = 0.887, Average Hits@1 = 0.896
Epoch 95: Hits@1 Left = 0.906, Hits@1 Right = 0.888, Average Hits@1 = 0.897
Epoch 100: Hits@1 Left = 0.906, Hits@1 Right = 0.888, Average Hits@1 = 0.897
Epoch 105: Hits@1 Left = 0.908, Hits@1 Right = 0.887, Average Hits@1 = 0.897
Epoch 110: Hits@1 Left = 0.907, Hits@1 Right = 0.885, Average Hits@1 = 0.896
Epoch 115: Hits@1 Left = 0.905, Hits@1 Right = 0.888, Average Hits@1 = 0.896
Epoch 120: Hits@1 Left = 0.906, Hits@1 Right = 0.890, Average Hits@1 = 0.898
