Epoch 5: Hits@1 Left = 0.893, Hits@1 Right = 0.882, Average Hits@1 = 0.887
Epoch 10: Hits@1 Left = 0.828, Hits@1 Right = 0.825, Average Hits@1 = 0.826
Epoch 15: Hits@1 Left = 0.842, Hits@1 Right = 0.841, Average Hits@1 = 0.842
Epoch 20: Hits@1 Left = 0.847, Hits@1 Right = 0.852, Average Hits@1 = 0.849
Epoch 25: Hits@1 Left = 0.850, Hits@1 Right = 0.849, Average Hits@1 = 0.850
Epoch 30: Hits@1 Left = 0.859, Hits@1 Right = 0.853, Average Hits@1 = 0.856
Epoch 35: Hits@1 Left = 0.888, Hits@1 Right = 0.876, Average Hits@1 = 0.882
Epoch 40: Hits@1 Left = 0.894, Hits@1 Right = 0.881, Average Hits@1 = 0.887
Epoch 45: Hits@1 Left = 0.908, Hits@1 Right = 0.893, Average Hits@1 = 0.901
Epoch 50: Hits@1 Left = 0.908, Hits@1 Right = 0.902, Average Hits@1 = 0.905
Epoch 55: Hits@1 Left = 0.912, Hits@1 Right = 0.904, Average Hits@1 = 0.908
Epoch 60: Hits@1 Left = 0.915, Hits@1 Right = 0.909, Average Hits@1 = 0.912
Epoch 65: Hits@1 Left = 0.918, Hits@1 Right = 0.915, Average Hits@1 = 0.917
Epoch 70: Hits@1 Left = 0.923, Hits@1 Right = 0.920, Average Hits@1 = 0.921
Epoch 75: Hits@1 Left = 0.927, Hits@1 Right = 0.924, Average Hits@1 = 0.926
Epoch 80: Hits@1 Left = 0.930, Hits@1 Right = 0.925, Average Hits@1 = 0.927
Epoch 85: Hits@1 Left = 0.934, Hits@1 Right = 0.928, Average Hits@1 = 0.931
Epoch 90: Hits@1 Left = 0.936, Hits@1 Right = 0.932, Average Hits@1 = 0.934
Epoch 95: Hits@1 Left = 0.940, Hits@1 Right = 0.933, Average Hits@1 = 0.936
Epoch 100: Hits@1 Left = 0.940, Hits@1 Right = 0.936, Average Hits@1 = 0.938
Epoch 105: Hits@1 Left = 0.941, Hits@1 Right = 0.939, Average Hits@1 = 0.940
Epoch 110: Hits@1 Left = 0.944, Hits@1 Right = 0.942, Average Hits@1 = 0.943
Epoch 115: Hits@1 Left = 0.947, Hits@1 Right = 0.941, Average Hits@1 = 0.944
Epoch 120: Hits@1 Left = 0.948, Hits@1 Right = 0.942, Average Hits@1 = 0.945
Epoch 125: Hits@1 Left = 0.949, Hits@1 Right = 0.944, Average Hits@1 = 0.946
Epoch 130: Hits@1 Left = 0.949, Hits@1 Right = 0.945, Average Hits@1 = 0.947
Epoch 135: Hits@1 Left = 0.950, Hits@1 Right = 0.945, Average Hits@1 = 0.948
Epoch 140: Hits@1 Left = 0.951, Hits@1 Right = 0.945, Average Hits@1 = 0.948
Epoch 145: Hits@1 Left = 0.950, Hits@1 Right = 0.945, Average Hits@1 = 0.948
Epoch 150: Hits@1 Left = 0.952, Hits@1 Right = 0.948, Average Hits@1 = 0.950
Epoch 155: Hits@1 Left = 0.952, Hits@1 Right = 0.946, Average Hits@1 = 0.949
Epoch 160: Hits@1 Left = 0.953, Hits@1 Right = 0.946, Average Hits@1 = 0.950
Epoch 165: Hits@1 Left = 0.953, Hits@1 Right = 0.948, Average Hits@1 = 0.950
Epoch 170: Hits@1 Left = 0.954, Hits@1 Right = 0.949, Average Hits@1 = 0.951
Epoch 175: Hits@1 Left = 0.955, Hits@1 Right = 0.950, Average Hits@1 = 0.952
Epoch 180: Hits@1 Left = 0.957, Hits@1 Right = 0.950, Average Hits@1 = 0.953
Epoch 185: Hits@1 Left = 0.955, Hits@1 Right = 0.951, Average Hits@1 = 0.953
Epoch 190: Hits@1 Left = 0.956, Hits@1 Right = 0.952, Average Hits@1 = 0.954
Epoch 195: Hits@1 Left = 0.956, Hits@1 Right = 0.952, Average Hits@1 = 0.954
Epoch 200: Hits@1 Left = 0.956, Hits@1 Right = 0.952, Average Hits@1 = 0.954
Epoch 205: Hits@1 Left = 0.957, Hits@1 Right = 0.953, Average Hits@1 = 0.955
Epoch 210: Hits@1 Left = 0.957, Hits@1 Right = 0.953, Average Hits@1 = 0.955
Epoch 215: Hits@1 Left = 0.957, Hits@1 Right = 0.953, Average Hits@1 = 0.955
