Epoch 5: Hits@1 Left = 0.780, Hits@1 Right = 0.771, Average Hits@1 = 0.775
Epoch 10: Hits@1 Left = 0.819, Hits@1 Right = 0.812, Average Hits@1 = 0.815
Epoch 15: Hits@1 Left = 0.857, Hits@1 Right = 0.862, Average Hits@1 = 0.860
Epoch 20: Hits@1 Left = 0.861, Hits@1 Right = 0.872, Average Hits@1 = 0.867
Epoch 25: Hits@1 Left = 0.862, Hits@1 Right = 0.871, Average Hits@1 = 0.866
Epoch 30: Hits@1 Left = 0.856, Hits@1 Right = 0.852, Average Hits@1 = 0.854
Epoch 35: Hits@1 Left = 0.872, Hits@1 Right = 0.865, Average Hits@1 = 0.869
Epoch 40: Hits@1 Left = 0.887, Hits@1 Right = 0.885, Average Hits@1 = 0.886
Epoch 45: Hits@1 Left = 0.895, Hits@1 Right = 0.896, Average Hits@1 = 0.895
Epoch 50: Hits@1 Left = 0.907, Hits@1 Right = 0.901, Average Hits@1 = 0.904
Epoch 55: Hits@1 Left = 0.914, Hits@1 Right = 0.908, Average Hits@1 = 0.911
Epoch 60: Hits@1 Left = 0.919, Hits@1 Right = 0.914, Average Hits@1 = 0.916
Epoch 65: Hits@1 Left = 0.922, Hits@1 Right = 0.918, Average Hits@1 = 0.920
Epoch 70: Hits@1 Left = 0.924, Hits@1 Right = 0.921, Average Hits@1 = 0.923
Epoch 75: Hits@1 Left = 0.930, Hits@1 Right = 0.925, Average Hits@1 = 0.927
Epoch 80: Hits@1 Left = 0.929, Hits@1 Right = 0.928, Average Hits@1 = 0.929
Epoch 85: Hits@1 Left = 0.932, Hits@1 Right = 0.930, Average Hits@1 = 0.931
Epoch 90: Hits@1 Left = 0.936, Hits@1 Right = 0.931, Average Hits@1 = 0.934
Epoch 95: Hits@1 Left = 0.939, Hits@1 Right = 0.933, Average Hits@1 = 0.936
Epoch 100: Hits@1 Left = 0.942, Hits@1 Right = 0.936, Average Hits@1 = 0.939
Epoch 105: Hits@1 Left = 0.945, Hits@1 Right = 0.940, Average Hits@1 = 0.943
Epoch 110: Hits@1 Left = 0.946, Hits@1 Right = 0.942, Average Hits@1 = 0.944
Epoch 115: Hits@1 Left = 0.949, Hits@1 Right = 0.945, Average Hits@1 = 0.947
Epoch 120: Hits@1 Left = 0.948, Hits@1 Right = 0.945, Average Hits@1 = 0.947
Epoch 125: Hits@1 Left = 0.951, Hits@1 Right = 0.946, Average Hits@1 = 0.948
Epoch 130: Hits@1 Left = 0.952, Hits@1 Right = 0.946, Average Hits@1 = 0.949
Epoch 135: Hits@1 Left = 0.951, Hits@1 Right = 0.945, Average Hits@1 = 0.948
Epoch 140: Hits@1 Left = 0.955, Hits@1 Right = 0.947, Average Hits@1 = 0.951
Epoch 145: Hits@1 Left = 0.954, Hits@1 Right = 0.948, Average Hits@1 = 0.951
Epoch 150: Hits@1 Left = 0.956, Hits@1 Right = 0.947, Average Hits@1 = 0.951
Epoch 155: Hits@1 Left = 0.954, Hits@1 Right = 0.948, Average Hits@1 = 0.951
Epoch 160: Hits@1 Left = 0.955, Hits@1 Right = 0.949, Average Hits@1 = 0.952
Epoch 165: Hits@1 Left = 0.955, Hits@1 Right = 0.948, Average Hits@1 = 0.952
Epoch 170: Hits@1 Left = 0.956, Hits@1 Right = 0.948, Average Hits@1 = 0.952
Epoch 175: Hits@1 Left = 0.956, Hits@1 Right = 0.948, Average Hits@1 = 0.952
Epoch 180: Hits@1 Left = 0.956, Hits@1 Right = 0.951, Average Hits@1 = 0.953
Epoch 185: Hits@1 Left = 0.958, Hits@1 Right = 0.949, Average Hits@1 = 0.954
Epoch 190: Hits@1 Left = 0.957, Hits@1 Right = 0.951, Average Hits@1 = 0.954
Epoch 195: Hits@1 Left = 0.955, Hits@1 Right = 0.952, Average Hits@1 = 0.954
Epoch 200: Hits@1 Left = 0.957, Hits@1 Right = 0.952, Average Hits@1 = 0.955
Epoch 205: Hits@1 Left = 0.956, Hits@1 Right = 0.953, Average Hits@1 = 0.954
Epoch 210: Hits@1 Left = 0.956, Hits@1 Right = 0.953, Average Hits@1 = 0.955
Epoch 215: Hits@1 Left = 0.957, Hits@1 Right = 0.953, Average Hits@1 = 0.955
Epoch 220: Hits@1 Left = 0.955, Hits@1 Right = 0.952, Average Hits@1 = 0.954
Epoch 225: Hits@1 Left = 0.958, Hits@1 Right = 0.952, Average Hits@1 = 0.955
Epoch 230: Hits@1 Left = 0.957, Hits@1 Right = 0.953, Average Hits@1 = 0.955
Epoch 235: Hits@1 Left = 0.957, Hits@1 Right = 0.953, Average Hits@1 = 0.955
Epoch 240: Hits@1 Left = 0.957, Hits@1 Right = 0.955, Average Hits@1 = 0.956
Epoch 245: Hits@1 Left = 0.958, Hits@1 Right = 0.954, Average Hits@1 = 0.956
Epoch 250: Hits@1 Left = 0.957, Hits@1 Right = 0.955, Average Hits@1 = 0.956
Epoch 255: Hits@1 Left = 0.958, Hits@1 Right = 0.954, Average Hits@1 = 0.956
Epoch 260: Hits@1 Left = 0.957, Hits@1 Right = 0.955, Average Hits@1 = 0.956
Epoch 265: Hits@1 Left = 0.958, Hits@1 Right = 0.956, Average Hits@1 = 0.957
Epoch 270: Hits@1 Left = 0.959, Hits@1 Right = 0.956, Average Hits@1 = 0.957
Epoch 275: Hits@1 Left = 0.958, Hits@1 Right = 0.955, Average Hits@1 = 0.957
Epoch 280: Hits@1 Left = 0.959, Hits@1 Right = 0.956, Average Hits@1 = 0.958
Epoch 285: Hits@1 Left = 0.957, Hits@1 Right = 0.955, Average Hits@1 = 0.956
Epoch 290: Hits@1 Left = 0.957, Hits@1 Right = 0.956, Average Hits@1 = 0.957
Epoch 295: Hits@1 Left = 0.959, Hits@1 Right = 0.956, Average Hits@1 = 0.958
Epoch 300: Hits@1 Left = 0.958, Hits@1 Right = 0.958, Average Hits@1 = 0.958
Epoch 305: Hits@1 Left = 0.957, Hits@1 Right = 0.957, Average Hits@1 = 0.957
Epoch 310: Hits@1 Left = 0.956, Hits@1 Right = 0.957, Average Hits@1 = 0.957
Epoch 315: Hits@1 Left = 0.957, Hits@1 Right = 0.957, Average Hits@1 = 0.957
Epoch 320: Hits@1 Left = 0.959, Hits@1 Right = 0.957, Average Hits@1 = 0.958
Epoch 325: Hits@1 Left = 0.957, Hits@1 Right = 0.958, Average Hits@1 = 0.958
Epoch 330: Hits@1 Left = 0.957, Hits@1 Right = 0.958, Average Hits@1 = 0.958
Epoch 335: Hits@1 Left = 0.958, Hits@1 Right = 0.958, Average Hits@1 = 0.958
Epoch 340: Hits@1 Left = 0.958, Hits@1 Right = 0.958, Average Hits@1 = 0.958
