Epoch 5: MRR Left = 0.725, MRR Right = 0.703
Epoch 10: MRR Left = 0.720, MRR Right = 0.696
Epoch 15: MRR Left = 0.734, MRR Right = 0.709
Epoch 20: MRR Left = 0.734, MRR Right = 0.714
Epoch 25: MRR Left = 0.734, MRR Right = 0.713
Epoch 30: MRR Left = 0.736, MRR Right = 0.713
Epoch 35: MRR Left = 0.740, MRR Right = 0.715
Epoch 40: MRR Left = 0.743, MRR Right = 0.718
Epoch 45: MRR Left = 0.746, MRR Right = 0.720
Epoch 50: MRR Left = 0.742, MRR Right = 0.719
Epoch 55: MRR Left = 0.743, MRR Right = 0.722
Epoch 60: MRR Left = 0.744, MRR Right = 0.722
Epoch 65: MRR Left = 0.745, MRR Right = 0.720
Epoch 70: MRR Left = 0.749, MRR Right = 0.722
Epoch 75: MRR Left = 0.748, MRR Right = 0.726
Epoch 80: MRR Left = 0.746, MRR Right = 0.725
Epoch 85: MRR Left = 0.748, MRR Right = 0.726
Epoch 90: MRR Left = 0.749, MRR Right = 0.726
Epoch 95: MRR Left = 0.748, MRR Right = 0.727
Epoch 100: MRR Left = 0.749, MRR Right = 0.726
Epoch 105: MRR Left = 0.751, MRR Right = 0.727
Epoch 110: MRR Left = 0.750, MRR Right = 0.727
Epoch 115: MRR Left = 0.751, MRR Right = 0.728
Epoch 120: MRR Left = 0.750, MRR Right = 0.725
Epoch 125: MRR Left = 0.753, MRR Right = 0.727
Epoch 130: MRR Left = 0.752, MRR Right = 0.728
Epoch 135: MRR Left = 0.752, MRR Right = 0.729
Epoch 140: MRR Left = 0.750, MRR Right = 0.725
Epoch 145: MRR Left = 0.754, MRR Right = 0.727
Epoch 150: MRR Left = 0.756, MRR Right = 0.729
Epoch 155: MRR Left = 0.753, MRR Right = 0.727
Epoch 160: MRR Left = 0.751, MRR Right = 0.726
Epoch 165: MRR Left = 0.754, MRR Right = 0.726
Epoch 170: MRR Left = 0.752, MRR Right = 0.726
Epoch 175: MRR Left = 0.751, MRR Right = 0.728
Epoch 180: MRR Left = 0.747, MRR Right = 0.726
Epoch 185: MRR Left = 0.753, MRR Right = 0.729
Epoch 190: MRR Left = 0.754, MRR Right = 0.728
Epoch 195: MRR Left = 0.751, MRR Right = 0.729
Epoch 200: MRR Left = 0.749, MRR Right = 0.729
Epoch 205: MRR Left = 0.752, MRR Right = 0.730
Epoch 210: MRR Left = 0.754, MRR Right = 0.729
Epoch 215: MRR Left = 0.752, MRR Right = 0.729
Epoch 220: MRR Left = 0.750, MRR Right = 0.731
Epoch 225: MRR Left = 0.751, MRR Right = 0.732
Epoch 230: MRR Left = 0.752, MRR Right = 0.731
Epoch 235: MRR Left = 0.752, MRR Right = 0.731
Epoch 240: MRR Left = 0.749, MRR Right = 0.728
Epoch 245: MRR Left = 0.751, MRR Right = 0.730
Epoch 250: MRR Left = 0.750, MRR Right = 0.731
Epoch 255: MRR Left = 0.751, MRR Right = 0.731
Epoch 260: MRR Left = 0.749, MRR Right = 0.729
Epoch 265: MRR Left = 0.750, MRR Right = 0.732
Epoch 270: MRR Left = 0.749, MRR Right = 0.729
Epoch 275: MRR Left = 0.751, MRR Right = 0.729
Epoch 280: MRR Left = 0.752, MRR Right = 0.729
Epoch 285: MRR Left = 0.753, MRR Right = 0.731
Epoch 290: MRR Left = 0.751, MRR Right = 0.732
Epoch 295: MRR Left = 0.751, MRR Right = 0.731
Epoch 300: MRR Left = 0.753, MRR Right = 0.728
Epoch 305: MRR Left = 0.754, MRR Right = 0.731
Epoch 310: MRR Left = 0.751, MRR Right = 0.733
Epoch 315: MRR Left = 0.751, MRR Right = 0.732
Epoch 320: MRR Left = 0.750, MRR Right = 0.728
Epoch 325: MRR Left = 0.754, MRR Right = 0.731
Epoch 330: MRR Left = 0.751, MRR Right = 0.732
Epoch 335: MRR Left = 0.749, MRR Right = 0.732
Epoch 340: MRR Left = 0.751, MRR Right = 0.728
