Epoch 5: Hits@10 Left = 0.814, Hits@10 Right = 0.824, Average Hits@10 = 0.819
Epoch 10: Hits@10 Left = 0.824, Hits@10 Right = 0.832, Average Hits@10 = 0.828
Epoch 15: Hits@10 Left = 0.827, Hits@10 Right = 0.834, Average Hits@10 = 0.831
Epoch 20: Hits@10 Left = 0.826, Hits@10 Right = 0.836, Average Hits@10 = 0.831
Epoch 25: Hits@10 Left = 0.827, Hits@10 Right = 0.840, Average Hits@10 = 0.834
Epoch 30: Hits@10 Left = 0.831, Hits@10 Right = 0.841, Average Hits@10 = 0.836
Epoch 35: Hits@10 Left = 0.834, Hits@10 Right = 0.844, Average Hits@10 = 0.839
Epoch 40: Hits@10 Left = 0.838, Hits@10 Right = 0.848, Average Hits@10 = 0.843
Epoch 45: Hits@10 Left = 0.840, Hits@10 Right = 0.848, Average Hits@10 = 0.844
Epoch 50: Hits@10 Left = 0.840, Hits@10 Right = 0.850, Average Hits@10 = 0.845
Epoch 55: Hits@10 Left = 0.842, Hits@10 Right = 0.853, Average Hits@10 = 0.848
Epoch 60: Hits@10 Left = 0.846, Hits@10 Right = 0.854, Average Hits@10 = 0.850
Epoch 65: Hits@10 Left = 0.850, Hits@10 Right = 0.855, Average Hits@10 = 0.852
Epoch 70: Hits@10 Left = 0.848, Hits@10 Right = 0.859, Average Hits@10 = 0.854
Epoch 75: Hits@10 Left = 0.850, Hits@10 Right = 0.859, Average Hits@10 = 0.855
Epoch 80: Hits@10 Left = 0.852, Hits@10 Right = 0.859, Average Hits@10 = 0.856
Epoch 85: Hits@10 Left = 0.853, Hits@10 Right = 0.859, Average Hits@10 = 0.856
Epoch 90: Hits@10 Left = 0.856, Hits@10 Right = 0.862, Average Hits@10 = 0.859
Epoch 95: Hits@10 Left = 0.859, Hits@10 Right = 0.865, Average Hits@10 = 0.862
Epoch 100: Hits@10 Left = 0.859, Hits@10 Right = 0.866, Average Hits@10 = 0.862
Epoch 105: Hits@10 Left = 0.860, Hits@10 Right = 0.868, Average Hits@10 = 0.864
Epoch 110: Hits@10 Left = 0.862, Hits@10 Right = 0.868, Average Hits@10 = 0.865
Epoch 115: Hits@10 Left = 0.862, Hits@10 Right = 0.868, Average Hits@10 = 0.865
Epoch 120: Hits@10 Left = 0.864, Hits@10 Right = 0.867, Average Hits@10 = 0.866
Epoch 125: Hits@10 Left = 0.865, Hits@10 Right = 0.866, Average Hits@10 = 0.866
Epoch 130: Hits@10 Left = 0.867, Hits@10 Right = 0.867, Average Hits@10 = 0.867
Epoch 135: Hits@10 Left = 0.867, Hits@10 Right = 0.868, Average Hits@10 = 0.867
Epoch 140: Hits@10 Left = 0.865, Hits@10 Right = 0.868, Average Hits@10 = 0.867
Epoch 145: Hits@10 Left = 0.864, Hits@10 Right = 0.869, Average Hits@10 = 0.867
Epoch 150: Hits@10 Left = 0.866, Hits@10 Right = 0.869, Average Hits@10 = 0.868
Epoch 155: Hits@10 Left = 0.866, Hits@10 Right = 0.871, Average Hits@10 = 0.868
Epoch 160: Hits@10 Left = 0.867, Hits@10 Right = 0.870, Average Hits@10 = 0.868
Epoch 165: Hits@10 Left = 0.866, Hits@10 Right = 0.870, Average Hits@10 = 0.868
Epoch 170: Hits@10 Left = 0.866, Hits@10 Right = 0.871, Average Hits@10 = 0.868
Epoch 175: Hits@10 Left = 0.866, Hits@10 Right = 0.870, Average Hits@10 = 0.868
Epoch 180: Hits@10 Left = 0.865, Hits@10 Right = 0.869, Average Hits@10 = 0.867
Epoch 185: Hits@10 Left = 0.867, Hits@10 Right = 0.870, Average Hits@10 = 0.868
Epoch 190: Hits@10 Left = 0.869, Hits@10 Right = 0.871, Average Hits@10 = 0.870
Epoch 195: Hits@10 Left = 0.870, Hits@10 Right = 0.870, Average Hits@10 = 0.870
Epoch 200: Hits@10 Left = 0.868, Hits@10 Right = 0.869, Average Hits@10 = 0.868
Epoch 205: Hits@10 Left = 0.870, Hits@10 Right = 0.871, Average Hits@10 = 0.870
Epoch 210: Hits@10 Left = 0.871, Hits@10 Right = 0.871, Average Hits@10 = 0.871
Epoch 215: Hits@10 Left = 0.872, Hits@10 Right = 0.876, Average Hits@10 = 0.874
Epoch 220: Hits@10 Left = 0.870, Hits@10 Right = 0.871, Average Hits@10 = 0.871
Epoch 225: Hits@10 Left = 0.869, Hits@10 Right = 0.869, Average Hits@10 = 0.869
Epoch 230: Hits@10 Left = 0.873, Hits@10 Right = 0.872, Average Hits@10 = 0.873
Epoch 235: Hits@10 Left = 0.872, Hits@10 Right = 0.872, Average Hits@10 = 0.872
Epoch 240: Hits@10 Left = 0.869, Hits@10 Right = 0.872, Average Hits@10 = 0.870
Epoch 245: Hits@10 Left = 0.872, Hits@10 Right = 0.872, Average Hits@10 = 0.872
Epoch 250: Hits@10 Left = 0.875, Hits@10 Right = 0.870, Average Hits@10 = 0.873
Epoch 255: Hits@10 Left = 0.874, Hits@10 Right = 0.873, Average Hits@10 = 0.873
Epoch 260: Hits@10 Left = 0.870, Hits@10 Right = 0.872, Average Hits@10 = 0.871
Epoch 265: Hits@10 Left = 0.874, Hits@10 Right = 0.872, Average Hits@10 = 0.873
Epoch 270: Hits@10 Left = 0.873, Hits@10 Right = 0.872, Average Hits@10 = 0.873
Epoch 275: Hits@10 Left = 0.873, Hits@10 Right = 0.873, Average Hits@10 = 0.873
Epoch 280: Hits@10 Left = 0.872, Hits@10 Right = 0.870, Average Hits@10 = 0.871
Epoch 285: Hits@10 Left = 0.873, Hits@10 Right = 0.873, Average Hits@10 = 0.873
Epoch 290: Hits@10 Left = 0.872, Hits@10 Right = 0.871, Average Hits@10 = 0.872
Epoch 295: Hits@10 Left = 0.872, Hits@10 Right = 0.873, Average Hits@10 = 0.872
Epoch 300: Hits@10 Left = 0.873, Hits@10 Right = 0.874, Average Hits@10 = 0.874
Epoch 305: Hits@10 Left = 0.874, Hits@10 Right = 0.869, Average Hits@10 = 0.871
Epoch 310: Hits@10 Left = 0.873, Hits@10 Right = 0.868, Average Hits@10 = 0.871
Epoch 315: Hits@10 Left = 0.871, Hits@10 Right = 0.874, Average Hits@10 = 0.873
Epoch 320: Hits@10 Left = 0.874, Hits@10 Right = 0.872, Average Hits@10 = 0.873
Epoch 325: Hits@10 Left = 0.872, Hits@10 Right = 0.870, Average Hits@10 = 0.871
Epoch 330: Hits@10 Left = 0.874, Hits@10 Right = 0.868, Average Hits@10 = 0.871
Epoch 335: Hits@10 Left = 0.873, Hits@10 Right = 0.872, Average Hits@10 = 0.873
Epoch 340: Hits@10 Left = 0.871, Hits@10 Right = 0.875, Average Hits@10 = 0.873
