Epoch 5: Hits@10 Left = 0.800, Hits@10 Right = 0.796, Average Hits@10 = 0.798
Epoch 10: Hits@10 Left = 0.804, Hits@10 Right = 0.788, Average Hits@10 = 0.796
Epoch 15: Hits@10 Left = 0.813, Hits@10 Right = 0.806, Average Hits@10 = 0.810
Epoch 20: Hits@10 Left = 0.815, Hits@10 Right = 0.802, Average Hits@10 = 0.808
Epoch 25: Hits@10 Left = 0.810, Hits@10 Right = 0.801, Average Hits@10 = 0.806
Epoch 30: Hits@10 Left = 0.811, Hits@10 Right = 0.804, Average Hits@10 = 0.808
Epoch 35: Hits@10 Left = 0.817, Hits@10 Right = 0.812, Average Hits@10 = 0.815
Epoch 40: Hits@10 Left = 0.821, Hits@10 Right = 0.817, Average Hits@10 = 0.819
Epoch 45: Hits@10 Left = 0.822, Hits@10 Right = 0.816, Average Hits@10 = 0.819
Epoch 50: Hits@10 Left = 0.823, Hits@10 Right = 0.818, Average Hits@10 = 0.820
Epoch 55: Hits@10 Left = 0.821, Hits@10 Right = 0.816, Average Hits@10 = 0.819
Epoch 60: Hits@10 Left = 0.824, Hits@10 Right = 0.820, Average Hits@10 = 0.822
Epoch 65: Hits@10 Left = 0.825, Hits@10 Right = 0.820, Average Hits@10 = 0.823
Epoch 70: Hits@10 Left = 0.826, Hits@10 Right = 0.824, Average Hits@10 = 0.825
Epoch 75: Hits@10 Left = 0.827, Hits@10 Right = 0.824, Average Hits@10 = 0.826
Epoch 80: Hits@10 Left = 0.826, Hits@10 Right = 0.826, Average Hits@10 = 0.826
Epoch 85: Hits@10 Left = 0.829, Hits@10 Right = 0.824, Average Hits@10 = 0.827
Epoch 90: Hits@10 Left = 0.830, Hits@10 Right = 0.825, Average Hits@10 = 0.828
Epoch 95: Hits@10 Left = 0.829, Hits@10 Right = 0.825, Average Hits@10 = 0.827
Epoch 100: Hits@10 Left = 0.830, Hits@10 Right = 0.827, Average Hits@10 = 0.828
Epoch 105: Hits@10 Left = 0.831, Hits@10 Right = 0.828, Average Hits@10 = 0.829
Epoch 110: Hits@10 Left = 0.832, Hits@10 Right = 0.828, Average Hits@10 = 0.830
Epoch 115: Hits@10 Left = 0.832, Hits@10 Right = 0.828, Average Hits@10 = 0.830
Epoch 120: Hits@10 Left = 0.828, Hits@10 Right = 0.831, Average Hits@10 = 0.829
Epoch 125: Hits@10 Left = 0.832, Hits@10 Right = 0.831, Average Hits@10 = 0.832
Epoch 130: Hits@10 Left = 0.835, Hits@10 Right = 0.827, Average Hits@10 = 0.831
Epoch 135: Hits@10 Left = 0.833, Hits@10 Right = 0.829, Average Hits@10 = 0.831
Epoch 140: Hits@10 Left = 0.829, Hits@10 Right = 0.827, Average Hits@10 = 0.828
Epoch 145: Hits@10 Left = 0.833, Hits@10 Right = 0.829, Average Hits@10 = 0.831
Epoch 150: Hits@10 Left = 0.838, Hits@10 Right = 0.828, Average Hits@10 = 0.833
Epoch 155: Hits@10 Left = 0.838, Hits@10 Right = 0.828, Average Hits@10 = 0.833
Epoch 160: Hits@10 Left = 0.831, Hits@10 Right = 0.827, Average Hits@10 = 0.829
Epoch 165: Hits@10 Left = 0.835, Hits@10 Right = 0.829, Average Hits@10 = 0.832
Epoch 170: Hits@10 Left = 0.838, Hits@10 Right = 0.829, Average Hits@10 = 0.834
Epoch 175: Hits@10 Left = 0.837, Hits@10 Right = 0.831, Average Hits@10 = 0.834
Epoch 180: Hits@10 Left = 0.835, Hits@10 Right = 0.828, Average Hits@10 = 0.831
Epoch 185: Hits@10 Left = 0.835, Hits@10 Right = 0.829, Average Hits@10 = 0.832
Epoch 190: Hits@10 Left = 0.834, Hits@10 Right = 0.828, Average Hits@10 = 0.831
Epoch 195: Hits@10 Left = 0.836, Hits@10 Right = 0.829, Average Hits@10 = 0.833
Epoch 200: Hits@10 Left = 0.836, Hits@10 Right = 0.832, Average Hits@10 = 0.834
Epoch 205: Hits@10 Left = 0.836, Hits@10 Right = 0.834, Average Hits@10 = 0.835
Epoch 210: Hits@10 Left = 0.839, Hits@10 Right = 0.828, Average Hits@10 = 0.834
Epoch 215: Hits@10 Left = 0.836, Hits@10 Right = 0.828, Average Hits@10 = 0.832
Epoch 220: Hits@10 Left = 0.835, Hits@10 Right = 0.834, Average Hits@10 = 0.835
