Epoch 5: Hits@10 Left = 0.780, Hits@10 Right = 0.786, Average Hits@10 = 0.783
Epoch 10: Hits@10 Left = 0.780, Hits@10 Right = 0.790, Average Hits@10 = 0.785
Epoch 15: Hits@10 Left = 0.783, Hits@10 Right = 0.788, Average Hits@10 = 0.786
Epoch 20: Hits@10 Left = 0.785, Hits@10 Right = 0.789, Average Hits@10 = 0.787
Epoch 25: Hits@10 Left = 0.786, Hits@10 Right = 0.790, Average Hits@10 = 0.788
Epoch 30: Hits@10 Left = 0.786, Hits@10 Right = 0.795, Average Hits@10 = 0.790
Epoch 35: Hits@10 Left = 0.784, Hits@10 Right = 0.794, Average Hits@10 = 0.789
Epoch 40: Hits@10 Left = 0.785, Hits@10 Right = 0.795, Average Hits@10 = 0.790
Epoch 45: Hits@10 Left = 0.787, Hits@10 Right = 0.795, Average Hits@10 = 0.791
Epoch 50: Hits@10 Left = 0.788, Hits@10 Right = 0.796, Average Hits@10 = 0.792
Epoch 55: Hits@10 Left = 0.787, Hits@10 Right = 0.797, Average Hits@10 = 0.792
Epoch 60: Hits@10 Left = 0.788, Hits@10 Right = 0.798, Average Hits@10 = 0.793
Epoch 65: Hits@10 Left = 0.788, Hits@10 Right = 0.798, Average Hits@10 = 0.793
Epoch 70: Hits@10 Left = 0.788, Hits@10 Right = 0.798, Average Hits@10 = 0.793
Epoch 75: Hits@10 Left = 0.788, Hits@10 Right = 0.798, Average Hits@10 = 0.793
Epoch 80: Hits@10 Left = 0.788, Hits@10 Right = 0.799, Average Hits@10 = 0.794
Epoch 85: Hits@10 Left = 0.789, Hits@10 Right = 0.800, Average Hits@10 = 0.794
Epoch 90: Hits@10 Left = 0.789, Hits@10 Right = 0.800, Average Hits@10 = 0.794
Epoch 95: Hits@10 Left = 0.789, Hits@10 Right = 0.799, Average Hits@10 = 0.794
Epoch 100: Hits@10 Left = 0.788, Hits@10 Right = 0.800, Average Hits@10 = 0.794
Epoch 105: Hits@10 Left = 0.788, Hits@10 Right = 0.801, Average Hits@10 = 0.795
Epoch 110: Hits@10 Left = 0.790, Hits@10 Right = 0.801, Average Hits@10 = 0.796
Epoch 115: Hits@10 Left = 0.791, Hits@10 Right = 0.801, Average Hits@10 = 0.796
Epoch 120: Hits@10 Left = 0.791, Hits@10 Right = 0.801, Average Hits@10 = 0.796
Epoch 125: Hits@10 Left = 0.791, Hits@10 Right = 0.801, Average Hits@10 = 0.796
Epoch 130: Hits@10 Left = 0.791, Hits@10 Right = 0.801, Average Hits@10 = 0.796
Epoch 135: Hits@10 Left = 0.791, Hits@10 Right = 0.802, Average Hits@10 = 0.796
Epoch 140: Hits@10 Left = 0.792, Hits@10 Right = 0.802, Average Hits@10 = 0.797
Epoch 145: Hits@10 Left = 0.793, Hits@10 Right = 0.802, Average Hits@10 = 0.798
Epoch 150: Hits@10 Left = 0.793, Hits@10 Right = 0.803, Average Hits@10 = 0.798
Epoch 155: Hits@10 Left = 0.793, Hits@10 Right = 0.803, Average Hits@10 = 0.798
Epoch 160: Hits@10 Left = 0.793, Hits@10 Right = 0.804, Average Hits@10 = 0.798
Epoch 165: Hits@10 Left = 0.793, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 170: Hits@10 Left = 0.793, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 175: Hits@10 Left = 0.794, Hits@10 Right = 0.803, Average Hits@10 = 0.798
Epoch 180: Hits@10 Left = 0.794, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 185: Hits@10 Left = 0.794, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 190: Hits@10 Left = 0.794, Hits@10 Right = 0.803, Average Hits@10 = 0.798
Epoch 195: Hits@10 Left = 0.794, Hits@10 Right = 0.803, Average Hits@10 = 0.799
Epoch 200: Hits@10 Left = 0.795, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 205: Hits@10 Left = 0.794, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 210: Hits@10 Left = 0.794, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 215: Hits@10 Left = 0.794, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 220: Hits@10 Left = 0.794, Hits@10 Right = 0.803, Average Hits@10 = 0.799
Epoch 225: Hits@10 Left = 0.795, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 230: Hits@10 Left = 0.795, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 235: Hits@10 Left = 0.795, Hits@10 Right = 0.803, Average Hits@10 = 0.799
Epoch 240: Hits@10 Left = 0.795, Hits@10 Right = 0.803, Average Hits@10 = 0.799
Epoch 245: Hits@10 Left = 0.795, Hits@10 Right = 0.803, Average Hits@10 = 0.799
Epoch 250: Hits@10 Left = 0.795, Hits@10 Right = 0.804, Average Hits@10 = 0.800
Epoch 255: Hits@10 Left = 0.795, Hits@10 Right = 0.804, Average Hits@10 = 0.800
Epoch 260: Hits@10 Left = 0.795, Hits@10 Right = 0.804, Average Hits@10 = 0.800
Epoch 265: Hits@10 Left = 0.795, Hits@10 Right = 0.804, Average Hits@10 = 0.800
Epoch 270: Hits@10 Left = 0.796, Hits@10 Right = 0.804, Average Hits@10 = 0.800
Epoch 275: Hits@10 Left = 0.795, Hits@10 Right = 0.805, Average Hits@10 = 0.800
Epoch 280: Hits@10 Left = 0.795, Hits@10 Right = 0.805, Average Hits@10 = 0.800
Epoch 285: Hits@10 Left = 0.794, Hits@10 Right = 0.805, Average Hits@10 = 0.800
Epoch 290: Hits@10 Left = 0.795, Hits@10 Right = 0.804, Average Hits@10 = 0.800
Epoch 295: Hits@10 Left = 0.794, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 300: Hits@10 Left = 0.794, Hits@10 Right = 0.805, Average Hits@10 = 0.800
Epoch 305: Hits@10 Left = 0.794, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 310: Hits@10 Left = 0.793, Hits@10 Right = 0.805, Average Hits@10 = 0.799
Epoch 315: Hits@10 Left = 0.793, Hits@10 Right = 0.804, Average Hits@10 = 0.798
Epoch 320: Hits@10 Left = 0.793, Hits@10 Right = 0.804, Average Hits@10 = 0.799
Epoch 325: Hits@10 Left = 0.793, Hits@10 Right = 0.804, Average Hits@10 = 0.798
Epoch 330: Hits@10 Left = 0.793, Hits@10 Right = 0.804, Average Hits@10 = 0.798
Epoch 335: Hits@10 Left = 0.793, Hits@10 Right = 0.804, Average Hits@10 = 0.798
Epoch 340: Hits@10 Left = 0.793, Hits@10 Right = 0.804, Average Hits@10 = 0.798
