Epoch 5: MRR Left = 0.913, MRR Right = 0.906, Average MRR = 0.909
Epoch 10: MRR Left = 0.920, MRR Right = 0.915, Average MRR = 0.917
Epoch 15: MRR Left = 0.923, MRR Right = 0.922, Average MRR = 0.923
Epoch 20: MRR Left = 0.925, MRR Right = 0.924, Average MRR = 0.925
Epoch 25: MRR Left = 0.927, MRR Right = 0.926, Average MRR = 0.927
Epoch 30: MRR Left = 0.929, MRR Right = 0.928, Average MRR = 0.929
Epoch 35: MRR Left = 0.930, MRR Right = 0.929, Average MRR = 0.929
Epoch 40: MRR Left = 0.931, MRR Right = 0.930, Average MRR = 0.931
Epoch 45: MRR Left = 0.932, MRR Right = 0.931, Average MRR = 0.931
Epoch 50: MRR Left = 0.933, MRR Right = 0.932, Average MRR = 0.933
Epoch 55: MRR Left = 0.934, MRR Right = 0.932, Average MRR = 0.933
Epoch 60: MRR Left = 0.934, MRR Right = 0.933, Average MRR = 0.933
Epoch 65: MRR Left = 0.935, MRR Right = 0.933, Average MRR = 0.934
Epoch 70: MRR Left = 0.936, MRR Right = 0.935, Average MRR = 0.935
Epoch 75: MRR Left = 0.936, MRR Right = 0.935, Average MRR = 0.935
Epoch 80: MRR Left = 0.936, MRR Right = 0.935, Average MRR = 0.935
Epoch 85: MRR Left = 0.937, MRR Right = 0.935, Average MRR = 0.936
Epoch 90: MRR Left = 0.937, MRR Right = 0.936, Average MRR = 0.937
Epoch 95: MRR Left = 0.937, MRR Right = 0.936, Average MRR = 0.937
Epoch 100: MRR Left = 0.937, MRR Right = 0.937, Average MRR = 0.937
Epoch 105: MRR Left = 0.938, MRR Right = 0.937, Average MRR = 0.938
Epoch 110: MRR Left = 0.937, MRR Right = 0.937, Average MRR = 0.937
Epoch 115: MRR Left = 0.937, MRR Right = 0.937, Average MRR = 0.937
Epoch 120: MRR Left = 0.937, MRR Right = 0.937, Average MRR = 0.937
Epoch 125: MRR Left = 0.937, MRR Right = 0.938, Average MRR = 0.938
Epoch 130: MRR Left = 0.938, MRR Right = 0.939, Average MRR = 0.938
Epoch 135: MRR Left = 0.938, MRR Right = 0.939, Average MRR = 0.938
Epoch 140: MRR Left = 0.939, MRR Right = 0.939, Average MRR = 0.939
Epoch 145: MRR Left = 0.939, MRR Right = 0.940, Average MRR = 0.940
Epoch 150: MRR Left = 0.939, MRR Right = 0.941, Average MRR = 0.940
Epoch 155: MRR Left = 0.939, MRR Right = 0.940, Average MRR = 0.940
Epoch 160: MRR Left = 0.940, MRR Right = 0.941, Average MRR = 0.940
Epoch 165: MRR Left = 0.940, MRR Right = 0.940, Average MRR = 0.940
Epoch 170: MRR Left = 0.941, MRR Right = 0.941, Average MRR = 0.941
Epoch 175: MRR Left = 0.940, MRR Right = 0.942, Average MRR = 0.941
Epoch 180: MRR Left = 0.940, MRR Right = 0.941, Average MRR = 0.940
Epoch 185: MRR Left = 0.941, MRR Right = 0.941, Average MRR = 0.941
Epoch 190: MRR Left = 0.942, MRR Right = 0.941, Average MRR = 0.942
Epoch 195: MRR Left = 0.941, MRR Right = 0.942, Average MRR = 0.942
Epoch 200: MRR Left = 0.941, MRR Right = 0.943, Average MRR = 0.942
Epoch 205: MRR Left = 0.941, MRR Right = 0.942, Average MRR = 0.942
Epoch 210: MRR Left = 0.942, MRR Right = 0.942, Average MRR = 0.942
Epoch 215: MRR Left = 0.941, MRR Right = 0.942, Average MRR = 0.942
Epoch 220: MRR Left = 0.941, MRR Right = 0.942, Average MRR = 0.942
Epoch 225: MRR Left = 0.943, MRR Right = 0.942, Average MRR = 0.942
Epoch 230: MRR Left = 0.943, MRR Right = 0.941, Average MRR = 0.942
Epoch 235: MRR Left = 0.942, MRR Right = 0.942, Average MRR = 0.942
Epoch 240: MRR Left = 0.942, MRR Right = 0.942, Average MRR = 0.942
Epoch 245: MRR Left = 0.943, MRR Right = 0.942, Average MRR = 0.942
Epoch 250: MRR Left = 0.942, MRR Right = 0.943, Average MRR = 0.942
Epoch 255: MRR Left = 0.941, MRR Right = 0.943, Average MRR = 0.942
Epoch 260: MRR Left = 0.941, MRR Right = 0.942, Average MRR = 0.942
Epoch 265: MRR Left = 0.941, MRR Right = 0.942, Average MRR = 0.942
Epoch 270: MRR Left = 0.940, MRR Right = 0.943, Average MRR = 0.942
Epoch 275: MRR Left = 0.940, MRR Right = 0.943, Average MRR = 0.942
Epoch 280: MRR Left = 0.941, MRR Right = 0.943, Average MRR = 0.942
Epoch 285: MRR Left = 0.939, MRR Right = 0.943, Average MRR = 0.941
Epoch 290: MRR Left = 0.938, MRR Right = 0.943, Average MRR = 0.940
Epoch 295: MRR Left = 0.939, MRR Right = 0.943, Average MRR = 0.941
Epoch 300: MRR Left = 0.939, MRR Right = 0.942, Average MRR = 0.940
Epoch 305: MRR Left = 0.939, MRR Right = 0.943, Average MRR = 0.941
Epoch 310: MRR Left = 0.939, MRR Right = 0.943, Average MRR = 0.941
Epoch 315: MRR Left = 0.939, MRR Right = 0.942, Average MRR = 0.940
Epoch 320: MRR Left = 0.940, MRR Right = 0.942, Average MRR = 0.941
Epoch 325: MRR Left = 0.939, MRR Right = 0.943, Average MRR = 0.941
Epoch 330: MRR Left = 0.940, MRR Right = 0.941, Average MRR = 0.940
Epoch 335: MRR Left = 0.940, MRR Right = 0.943, Average MRR = 0.942
Epoch 340: MRR Left = 0.940, MRR Right = 0.942, Average MRR = 0.941
